afghanistan 아프가니스탄
albania 알바니아
algeria 알제리
andorra 안도라
angola 앙골라
antigua_and_barbuda 앤티가바부다
argentina 아르헨티나
armenia 아르메니아
australia 오스트레일리아
austria 오스트리아
azerbaijan 아제르바이잔
bahamas 바하마
bahrain 바레인
bangladesh 방글라데시
barbados 바베이도스
belarus 벨라루스
belgium 벨기에
belize 벨리즈
benin 베냉
bhutan 부탄
bolivarian_republic_of_venezuela 베네수엘라
bolivia 볼리비아
bosnia_and_herzegovina 보스니아헤르체고비나
botswana 보츠와나
brazil 브라질
brunei_darussalam 브루나이
bulgaria 불가리아
burkina_faso 부르키나파소
burundi 부룬디
cambodia 캄보디아
cameroon 카메룬
canada 캐나다
cape_verde 카보베르데
central_african_republic 중앙아프리카공화국
chad 차드
chile 칠레
china 중국
colombia 콜롬비아
commonwealth_of_dominica 도미니카연방
comoros 코모로
costa_rica 코스타리카
croatia 크로아티아
cuba 쿠바
cyprus 사이프러스
czech_republic 체코
democratic_peoples_republic_of_korea 북한
democratic_republic_of_the_congo 콩고민주공화국
denmark 덴마크
djibouti 지부티
dominican_republic 도미니카공화국
east_timor 동티모르
ecuador 에콰도르
egypt 이집트
el_salvador 엘살바도르
equatorial_guinea 적도기니
eritrea 에리트레아
estonia 에스토니아
ethiopia 에티오피아
fiji 피지
finland 핀란드
france 프랑스
gabon 가봉
georgia 조지아
germany 독일
ghana 가나
greece 그리스
greenland 그린란드
grenada 그레나다
guatemala 과테말라
guinea_bissau 기니비사우
guinea 기니
guyana 가이아나
haiti 아이티
honduras 온두라스
hong_kong 홍콩(중국특별행정구)
hungary 헝가리
iceland 아이슬란드
india 인도
indonesia 인도네시아
iran 이란
iraq 이라크
ireland 아일랜드
israel 이스라엘
italy 이탈리아
jamaica 자메이카
japan 일본
jordan 요르단
kazakhstan 카자흐스탄
kenya 케냐
kingdom_of_eswatini 에스와티니
kiribati 키리바시
kosovo 코소보
kuwait 쿠웨이트
kyrgyzstan 키르기스스탄
laos 라오스
latvia 라트비아
lebanon 레바논
lesotho 레소토
liberia 라이베리아
libya 리비아
liechtenstein 리히텐슈타인
lithuania 리투아니아
luxembourg 룩셈부르크
macau 마카오(중국특별행정구)
macedonia 북마케도니아
madagascar 마다가스카르
malawi 말라위
malaysia 말레이시아
maldives 몰디브
mali 말리
malta 몰타
marshall_island 마셜제도
mauritania 모리타니
mauritius 모리셔스
mexico 멕시코
micronesia 미크로네시아
moldova 몰도바
monaco 모나코
mongolia 몽골
montenegro 몬테네그로
morocco 모로코
mozambique 모잠비크
namibia 나미비아
nauru 나우루
nepal 네팔
netherlands 네덜란드
new_zealand 뉴질랜드
nicaragua 니카라과
niger 니제르
nigeria 나이지리아
norway 노르웨이
oman 오만
pakistan 파키스탄
palau 팔라우
panama 파나마
papua_new_guinea 파푸아뉴기니
paraguay 파라과이
peru 페루
philippines 필리핀
poland 폴란드
portugal 포르투갈
qatar 카타르
republic_of_cote_divoire 코트디부아르
republic_of_korea 대한민국
republic_of_south_africa 남아프리카공화국
republic_of_south_sudan 남수단공화국
republic_of_suriname 수리남
republic_of_the_congo 콩고
republic_of_the_gambia 감비아
republic_of_the_union_of_myanmar 미얀마
romania 루마니아
russia 러시아
rwanda 르완다
saint_kitts_and_nevis 세인트키츠네비스
saint_lucia 세인트루시아
saint_vincent_and_the_grenadines 세인트빈센트그레나딘
samoa 사모아
san_marino 산마리노
sao_tome_and_principe 상투메프린시페
saudi_arabia 사우디아라비아
senegal 세네갈
serbia 세르비아
seychelles 세이셸
sierra_leone 시에라리온
singapore 싱가포르
slovakia 슬로바키아
slovenia 슬로베니아
solomon_island 솔로몬제도
somalia 소말리아
spain 스페인
sri_lanka 스리랑카
state_della_citta_del_vaticano 교황청
sudan 수단
sweden 스웨덴
switzerland 스위스
syria 시리아
taiwan 대만
tajikistan 타지키스탄
tanzania 탄자니아
thailand 타이
togo 토고
tonga 통가
trinidad_and_tobago 트리니다드토바고
tunisia 튀니지
turkey 터키
turkmenistan 투르크메니스탄
tuvalu 투발루
uganda 우간다
ukraine 우크라이나
united_arab_emirates 아랍에미리트
united_kingdom 영국
united_states_of_america 미국
uruguay 우루과이
uzbekistan 우즈베키스탄
vanuatu 바누아투
vietnam 베트남
yemen 예멘
zambia 잠비아
zimbabwe 짐바브웨
